Author,Title,Poetry Foundation ID,Content,Tag
Wendy Videlock,!,55489,"Dear Writers, I’m compiling the first in what I hope is a series of publications I’m calling artists among artists. The theme for issue 1 is “Faggot Dinosaur.” I hope to hear from you! Thank you and best wish ",N/A
Hailey Leithauser,0,41729,"Philosophic
in its complex, void emptiness,
a skillful pundit coined it as a sort
of stopgap doorstop for those
quaint equations

Romans never
dreamt of. In form completely clever
and discrete—a mirror come unsilvered,
loose watch face without the works,
a hollowed globe

from tip to toe
unbroken, it evades the grappling
hooks of mass, tilts the thin rim of no thing,
remains embryonic sum,
non-cogito.",novel
Jody Gladding,1-800-FEAR,57135,"We'd  like  to  talk  with  you  about  fear they  said  so
many  people  live  in  fear  these  days  they  drove  up
all  four  of  them  in  a  small  car nice   boy  they  said
beautiful  dogs they  said  so  friendly  the  man  ahead
of  the  woman  the other  two  waiting  in  the  drive  I
was  outside digging up the garden no one home I said
what   are  you  selling   anyway  I'm   not  interested  I
said  well  you  have  a  nice  day  they  said  here's  our
card  there's   a  phone  number  you  can  call  anytime
any  other   houses  down  this  road  anyone  else   live
here  we'd  like  to  talk  to  them  about  living  in  fear",N/A
Joseph Brodsky,01-Jan-65,56736,"The Wise Men will unlearn your name.
Above your head no star will flame.
One weary sound will be the same—
the hoarse roar of the gale.
The shadows fall from your tired eyes
as your lone bedside candle dies,
for here the calendar breeds nights
till stores of candles fail.

What prompts this melancholy key?
A long familiar melody.
It sounds again. So let it be.
Let it sound from this night.
Let it sound in my hour of  death—
as gratefulness of eyes and lips
for that which sometimes makes us lift
our gaze to the far sky.

You glare in silence at the wall.
Your stocking gapes: no gifts at all.
It's clear that you are now too old
to trust in good Saint Nick;
that it's too late for miracles.
—But suddenly, lifting your eyes
to heaven's light, you realize:
your life is a sheer gift.",poetry
Ted Berrigan,3 Pages,51624,"For Jack Collom
10 Things I do Every Day

play poker
drink beer
smoke pot
jack off
curse

BY THE WATERS OF MANHATTAN

flower

positive &amp; negative

go home

read   lunch   poems

hunker down

changes

Life goes by
quite merrily
blue
NO HELP WANTED

Hunting For The Whale

“and if the weather plays me fair
I’m happy every day.”

The white that dries clear
the heart attack
the congressional medal of honor
A house in the country

NOT ENOUGH",novel
Joe Brainard,30 One-Liners,58251,"WINTER
More time is spent at the window.

SUMMER
You go along from day to day with summer all around you.

STORES
Stores tell all about people who live in the area.

WRITING
Others have already written what I would like to write.

TODAY
Today the sky is so blue it burns.

IN THE COUNTRY
In the country one can almost hear the silence.

THE FOUR SEASONS
The four seasons of the year permit us to enjoy things.

RECIPE
Smear each side of a pork chop with mustard and dredge in
flour.

BOOK WORM
Have always had nose stuck in book from little on.

THAT FEELING
What defines that feeling one has when gazing at a rock?

COSTA RICA
It was in Costa Rica I saw my first coffee plantation.

HAPPINESS
Happiness is nothing more than a state of mind.

MONEY
Money will buy a fine dog.

OUR GOVERNMENT
A new program is being introduced by our government.

EDWARD
On the whole he is a beautiful human being.

LAKE
A lake attracts a man and wife and members of a family.

THE SKY
We see so many different things when we look at the sky.

A SEXY THOUGHT
Male early in the day.

POTATOES
One can only go so far without potatoes in the kitchen.

MOTHER
A mother is something we have all had.

MODERN TIMES
Every four minutes a car comes off the assembly line they say.

THE OCEAN
Foamy waves wash to shore ""treasures"" as a sacrifice to damp
sand.

TODAY
High density housing is going on all around us.

REAL LIFE
I could have screamed the day John proposed winterizing
the cottage and living there permanently.

ALASKA
I am a very cold person here.

THE YEAR OF THE WHITE MAN
The year of the white man was a year of many beads.

LOYALTY
Loyalty, I feel, is a very big word.

SOMETHING TO THINK ABOUT
Perhaps in our mad scramble to keep our heads above water
we miss the point.

HUMAN NATURE
Why must we be so intent on destroying everything we
touch?

COMPANY
Winifred was a little relieved when they were gone.",novel
Naomi Shihab Nye,300 Goats,58630,"In icy fields.

Is water flowing in the tank?

Will they huddle together, warm bodies pressing?

(Is it the year of the goat or the sheep?

Scholars debating Chinese zodiac,

follower or leader.)

O lead them to a warm corner,

little ones toward bulkier bodies.

Lead them to the brush, which cuts the icy wind.

Another frigid night swooping down —

Aren’t you worried about them? I ask my friend,

who lives by herself on the ranch of goats,

far from here near the town of Ozona.

She shrugs, “Not really,

they know what to do. They’re goats.”",poetry
Alice Notley,30th Birthday,48037,"May I never be afraid
especially of myself
but
Muhammed Ali are you telling
the truth?
Well you’re being true aren’t you and
you talk so wonderfully in your body
that protects you with physique of voice
raps within dance
May I never be afraid

rocked and quaked
the mantilla is lace
whose black is oak
But if I’m dark I’m strong
as my own darkness
my strength the universe
whose blackness is air
only starry
lace
But if I’m alive I’m strong
as life
Strong as the violets
in Marlon Brando’s fist
his dissemblance flourished into truth
She
took them
I’d take me too
I do
and my Ali I see you
a hard bright speck of me
the savage formalist
authentic deed of gossip
a kind body",poetry
Charles Bukowski,a 340 dollar horse and a hundred dollar whore,49569,"don’t ever get the idea I am a poet; you can see me
at the racetrack any day half drunk
betting quarters, sidewheelers and straight thoroughs,
but let me tell you, there are some women there
who go where the money goes, and sometimes when you
look at these whores these onehundreddollar whores
you wonder sometimes if nature isn’t playing a joke
dealing out so much breast and ass and the way
it’s all hung together, you look and you look and
you look and you can’t believe it; there are ordinary women
and then there is something else that wants to make you
tear up paintings and break albums of Beethoven
across the back of the john; anyhow, the season
was dragging and the big boys were getting busted,
all the non-pros, the producers, the cameraman,
the pushers of Mary, the fur salesman, the owners
themselves, and Saint Louie was running this day:
a sidewheeler that broke when he got in close;
he ran with his head down and was mean and ugly
and 35 to 1, and I put a ten down on him.
the driver broke him wide
took him out by the fence where he’d be alone
even if he had to travel four times as far,
and that’s the way he went it
all the way by the outer fence
traveling two miles in one
and he won like he was mad as hell
and he wasn’t even tired,
and the biggest blonde of all
all ass and breast, hardly anything else
went to the payoff window with me.

that night I couldn’t destroy her
although the springs shot sparks
and they pounded on the walls.
later she sat there in her slip
drinking Old Grandad
and she said
what’s a guy like you doing
living in a dump like this?
and I said
I’m a poet

and she threw back her beautiful head and laughed.

you? you . . . a poet?

I guess you’re right, I said, I guess you’re right.

but still she looked good to me, she still looked good,
and all thanks to an ugly horse
who wrote this poem.",novel
Vahni Capildeo,'I Love You',91724,"for Geraldine Monk
'I love you,' he wouldn't say: it was against his philosophy; I-love-you
didn't mean what it meant, plus the verray construction of the phrase
caused bad-old-concrete-lawman-vandal-verbal-mildew-upon-the-grape-
harvest-and-war-for-rare-minerals-required-to-manufacture-commu-
nications-devices damage; saying I-love-you damaged love, subject and
object; plus he could prove this in two dense and delphic languages
suitable for philosophy, opera, cursing, and racking the nerves of arti-
ficial intelligence machines that perhaps could love but would be
hard-wired giammai to dare say so. So what moved him to not-say
I-love-you? What wake-up-and-spoil-the-coffee ashtray-licking djinn? I
have to start to agree. The verbness of it impropriety (eyes glob up the
syringe when you're giving blood: semisolid spiralling); perhaps too
active... I-love-you, I sand you, I drill you, I honey and set you for wasps,
crimson you like a stolen toga, add value applying dye, fight owner-
ship, I cite you to justify skilled outrage, put your name as guarantor
on an astronomical mortgage, I admit desertification comes as a relief,
from I to O, O my oasis, O my mirage. Maybe the verb is a tending-to-
wards? A tightrope? A tropism? A station? But that's meeting him on
his own ground; plus I can't disprove entire languages; plus those
three little words aren't meant as saying. An icy drink in stormlight. A
looked-at leaf left to transpire its own way until... And sans I-love-you
the centuried moon rose above dinnermint stone; many men contin-
ued  talking; a woman lifted her sarsenet skirt, peed on green lilies and,
utterly gracious, walked through the archway to join the mixed group
delighting in — word! believe it! — fresh air.",novel
Gerard Manley Hopkins,'My own heart let me more have pity on',90507,"My own heart let me more have pity on; let
Me live to my sad self hereafter kind,
Charitable; not live this tormented mind
With this tormented mind tormenting yet.
I cast for comfort I can no more get
By groping round my comfortless, than blind
Eyes in their dark can day or thirst can find
Thirst's all-in-all in all a world of wet.

Soul, self; come, poor Jackself, I do advise
You, jaded, let be; call off thoughts awhile
Elsewhere; leave comfort root-room; let joy size
At God knows when to God knows what; whose smile
's not wrung, see you; unforeseen times rather — as skies
Betweenpie mountains — lights a lovely mile.",poetry
Jill Alexander Essbaum,4:13 AM,51182,"The shift of sleepwalks and suicides.
The occasion of owls and a demi-lune fog.
Even God has nodded off

And won't be taking prayers til ten.
Ad interim, you put them on.
As if your wants could keep you warm.

As if. You say your shibboleths.
You thumb your beads. You scry the glass.
Night creeps to its precipice

And the broken rim of reason breaks
Again. An obsidian sky betrays you.
Every serrate shadow flays you.

Soon enough, the crow will caw.
The cock will crow. The door will close.
(He isn't coming back, you know.)

And so wee, wet hours of grief relent.
In thirty years you might forget
Precisely how tonight's pain felt.

And in whose black house you dwelt.",poetry
Roberto Harrison,"[4,2]",53625,"i fail in the retry of possible gaps
for the middle of canyons
in crumbling lights
for the scarification of vinyl.
it rides through the forest
and throbs a small packet
where parallel seams
scratch a readable surface
on the backs of the camels
in mirages of separate planes
to the bursting eclipse
of pronounceable service,
two spots on its forehead call out
for the country of doubling masses
on a highway that cuts into faces
in line for the city
every stream ties a knot
for an opening under the sea

i lose all my digits
to the moon that will one day be bare
to the parched piles of breathing in farms
to the doorways that promise a morning
on the accident prone to a murder of chance
every mouse in the dust in the kitchen
will harvest the cold
in the sickness of scattering twigs
in the answer of mirrors
for the double that sings with the night
by the prayer full of ashes
under frozen cadavers that once
were the hearts
in the egg of a wound

i disappear in the wrap-up
for invisible letters that leave all the snow
for the hunt to deliver migration
on the mushroom fields full of returns
under beaches in roads by a promise
where the water turns into a home
and the blame of the air will no longer wail
for the spot in the cloud full of planets
while a bubble reenters a womb
for explosions in placards
like the front of a bus
crossing vines in a prairie
that were traced on the skin of a goat

i look at the picture of too many races
for the blood of a horse
that a bundle of sleeping
3 shorted connections
for the change of electrical chairs
under pools of announcements
for the battling showers
that tell all the stories of war
to infants in sight of the corner of trading
for the telephones buried in answers
under barrooms and sawdust and piers
where the songs of an isthmus
circle the beacon
where the moon cannot pull
where a whisper
moves sand off a stone

i weigh every mote in my eye with the fingers of handshakes
they calibrate walks like the wheels of a car
they reflect in a wave
like untying the knot of a bruise full of ice
where once was a number
where the count was eleven
where equality lifts
like the dough
that incarcerates mud clots and showers
for the vanishing thorn
in a guide by the pillow
softly omitted
what the second hand sees
under gears by the hand of a cripple
for the ditch in a face that is fine

i bury my head in the leaves
that the buses were lost in
that day when i looked for her here in the Arctic
when the telephone poles were the marks of equators
when the mornings at home
could not write their own name
when the shepherd was singing too many shields
at the entrance of staring at stars in the basement
with the light in the chest of what follows
with a walking that pulls at two seals
for the trouble in words
in the empty
in the on and off one
why there have to be zeros
to raise all the shores
for piñatas to line themselves up in the snow
under spreading the phase
of recalling the crosshairs
on the hive
that the singing will never return
when the breaking gives others
a prompt to give air

i radio frequencies meant to undress all the parrots
in the knot that a hill on the head
of the viewer can see
without even a monkey to grow
with a molecule’s power
in a black hole instead of a screen
in identity swimming to surface
every outlook reframes on a break
in circular lots
by the parking spot full of directions
where a jacket sinks into the roll
of an orange in Fez
around trains in the mountains
that the pantomime echoes
in the valley of shells that call out
for an engine to answer
when penalties cease in the skull
of another score gone on the pavement
with the sound of a bell that is broken
to bear its first weight in the sand",poetry
